"player_id","season","team_drafted_to_id","round_number","round_pick","overall_pick_number"
"1734",1998,"1610612747",1,26,26
"1735",1998,"1610612760",1,27,27
"1736",1998,"1610612741",1,28,28
"1737",1998,"1610612762",1,29,29
"1738",1998,"1610612742",2,1,30
"1739",1998,"1610612747",2,2,31
"1740",1998,"1610612760",2,3,32
"1741",1998,"1610612760",2,4,33
"1742",1998,"1610612741",2,5,34
"1743",1998,"1610612742",2,6,35
"1744",1998,"1610612758",2,7,36
"1745",1998,"1610612755",2,8,37
"1746",1998,"1610612752",2,9,38
"1747",1998,"1610612749",2,10,39
"1748",1998,"1610612765",2,11,40
"1749",1998,"1610612745",2,12,41
"1750",1998,"1610612753",2,13,42
"1751",1998,"1610612764",2,14,43
"1752",1998,"1610612752",2,15,44
"1753",1998,"1610612747",2,16,45
"1754",1998,"1610612750",2,17,46
"1755",1998,"1610612761",2,18,47
"1756",1998,"1610612739",2,19,48
"1757",1998,"1610612737",2,20,49
"1760",1998,"1610612759",2,23,52
"1761",1998,"1610612742",2,24,53
"1762",1998,"1610612743",2,25,54
"1763",1998,"1610612743",2,26,55
"1764",1998,"1610612763",2,27,56
"1765",1998,"1610612762",2,28,57
"1766",1998,"1610612741",2,29,58
"1814",1992,"1610612750",2,7,34
"1817",1993,"1610612760",2,15,42
"1819",1991,"1610612745",1,20,20
"1821",1991,"1610612741",1,26,26
"1839",1989,"1610612742",1,8,8
"1846",1987,"1610612755",1,16,16
"1847",1983,"1610612762",1,7,7
"1855",1991,"1610612743",1,8,8
"1874",1989,"1610612741",1,20,20
"1882",1999,"1610612741",1,1,1
"1883",1999,"1610612763",1,2,2
"1884",1999,"1610612766",1,3,3
"1885",1999,"1610612746",1,4,4
"1886",1999,"1610612761",1,5,5
"1887",1999,"1610612750",1,6,6
"1888",1999,"1610612764",1,7,7
"1889",1999,"1610612739",1,8,8
"1890",1999,"1610612756",1,9,9
"1891",1999,"1610612737",1,10,10
"1892",1999,"1610612739",1,11,11
"1893",1999,"1610612761",1,12,12
"1894",1999,"1610612760",1,13,13
"1895",1999,"1610612750",1,14,14
"1897",1999,"1610612741",1,16,16
"1898",1999,"1610612737",1,17,17
"1899",1999,"1610612743",1,18,18
"1900",1999,"1610612762",1,19,19
"1901",1999,"1610612737",1,20,20
"1902",1999,"1610612744",1,21,21
