"player_id","season","wingspan","standing_reach","hand_width","hand_length","bench_press","standing_vertical_leap","three_quarter_sprint"
"1626161",2015,"87","111","9","9.5",NULL,NULL,NULL
"1626162",2015,"86.25","102.5","8.75","9","7","34.5","3.32"
"1626163",2015,"83","109.5","9.5","8.5",NULL,NULL,NULL
"1626164",2015,"80.25","102.5","9","8.75","8","27.5","3.28"
"1626166",2015,"79.25","97.5","8.25","8.5","0","29.75","3.28"
"1626167",2015,"88","112","9.25","9.25",NULL,NULL,NULL
"1626168",2015,"85.5","108","10.25","9.25",NULL,NULL,NULL
"1626169",2015,"83.5","102","9","9",NULL,NULL,NULL
"1626170",2015,"79.5","100","8.5","8.25",NULL,NULL,NULL
"1626171",2015,"86","108.5","9.25","9.5","5","25","3.56"
"1626172",2015,"87.5","110","9.25","9.5",NULL,NULL,NULL
"1626173",2015,"79","101","8.5","8","5","28","3.21"
"1626174",2015,"87.25","111.5","10.75","9.25",NULL,NULL,NULL
"1626175",2015,"87.25","106","9.5","8.75","9","33","3.28"
"1626176",2015,"89.25","110.5","9","9.25","9","29","3.47"
"1626177",2015,"86","112","10.5","9.25","4","22.5","3.62"
"1626178",2015,"86","104","9.75","8.75","13","32","3.12"
"1626179",2015,"80.25","98.5","8.5","8.25","7","33","3.15"
"1626181",2015,"82.75","102.5","9","9.25","5","32.5","3.2"
"1626183",2015,"83","105","8.75","9","12","28.5","3.2"
"1626184",2015,"79","96.5","9.5","8.5","6","33.5","3.2"
"1626185",2015,"81","106.5","9.5","8.25","19","28.5","3.27"
"1626187",2015,"80","101.5","9.25","8.25","10","27","3.32"
"1626188",2015,"76","96.5","8.75","7.5","14","24.5","3.38"
"1626191",2015,"87.25","109","8.75","8.75",NULL,NULL,NULL
"1626192",2015,"80","96","9.25","8.5","13","37.5","3.2"
"1626203",2015,"82.5","103","8.25","8.5","11","28.5","3.3"
"1626205",2015,"83","104.5","8.75","9","13","33.5","3.26"
"1626208",2015,"74","93","9.5","8.5","8","34","3.13"
"1626210",2015,"85.75","106.5","9.5","8.5","8","25.5","3.5"
"1628365",2017,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"1628368",2017,"78.5","100","8.5","8.5",NULL,NULL,NULL
"1628378",2017,"82","97","9.5","8.5","10","36.5","3.01"
"1628379",2017,"77.25","98.5","8.75","8",NULL,NULL,NULL
"1628380",2017,"85","111","9.25","8.75",NULL,NULL,NULL
"1628381",2017,"83.25","106.5","10","9","15","33","3.27"
"1628382",2017,"83","104.5","9.25","8.75",NULL,"29.5","3.3"
"1628383",2017,"87","111.5","9.75","8.75",NULL,"26","3.46"
"1628384",2017,"86.25","107.5","9.5","9.25",NULL,NULL,NULL
